Question,Answer,Answer Category - Relevant?,Answer Category - Well-formed?,Answer Category - Informative?,Answer Category - Acceptable?,Answer Category - Poor?,Answer Relevance (1-5),Approach
What do we know about non-pharmaceutical interventions of COVID-19?,"For example, funding of basic and applied research that can help shape national policy for health and the development and enhancement of the health care system, and research on universal basic care by the private sector One way to help combat global health challenges is to prioritize the funding sources to expand and advance research to develop and improve the health systems For example, funding of basic and applied research that can help shape national policy for health and the development and enhancement of the health care system, and research on universal basic care by the private sector",,,x,,,3,"BERT-Large, Uncased: 24-layer, 1024-hidden, 16-heads, 340M parameters + Cosine Similarity (Scikit-learn)"
Are there geographic variations in the rate of COVID-19 spread?,"The emergence of this strain coincides with increased travel trends and high activity in the ocean routes, such as during the 2015 and 2016 seasons "" Based on the WHO case data, the spread in Asia is projected to continue The emergence of this strain coincides with increased travel trends and high activity in the ocean routes, such as during the 2015 and 2016 seasons",x,,,,,5,BioBERT-Large v1.1 (+ PubMed 1M) - based on BERT-large-Cased (custom 30k vocabulary) + Cosine Similarity (Scikit-learn)
"What is known about transmission, incubation, and environmental stability of COVID-19?","For example, WHO global health policy aims to prevent all events, from birth to death, including: (i) providing global health assistance to countries at risk; (ii) sharing resources with those in need; and (iii) ensuring access of health facilities to care (11) For example, WHO global health policy aims to prevent all events, from birth to death, including: (i) providing global health assistance to countries at risk; (ii) sharing resources with those in need; and (iii) ensuring access of health facilities to care (11) For example, WHO global health policy aims to prevent all events, from birth to death, including: (i) providing global health assistance to countries at risk; (ii) sharing resources with those in need; and (iii) ensuring access of health facilities to care (11)",,x,,,,4,"BERT-Large, Uncased: 24-layer, 1024-hidden, 16-heads, 340M parameters + Cosine Similarity (Scikit-learn)"
"What is known about transmission, incubation, and environmental stability of COVID-19?","Using the WHO framework, we demonstrate that the global health community should use its available knowledge around human, environmental, and technological factors, including global health policy, social, and technical norms Using the WHO framework, we demonstrate that the global health community should use its available knowledge around human, environmental, and technological factors, including global health policy, social, and technical norms Using the WHO framework, we demonstrate that the global health community should use its available knowledge around human, environmental, and technological factors, including global health policy, social, and technical norms",,x,,,,4,TfidfVectorizer (Scikit-learn) + Cosine Similarity (Scikit-learn)
Is there any evidence to suggest geographic based virus mutations of COVID-19?,"A: Most, if not all, the viral strains from the US and Canada contain many mutations within the region upstream of the 5' untranslated region (5'UTRs) of the virus genome ( Figure 5B), this includes three amino acids (V, E, I) substitutions at positions in the 5'UTR that are important in binding to the host cellular receptor, ACE We have now sequenced a large volume of the complete genome for all three of the identified isolates as previously reported We have now sequenced a large volume of the complete genome for all three of the identified isolates as previously reported",x,,,,,5,Universal Sentence Encoder Version 3 Large + Inner Product (numpy)
"What has been published about information sharing and inter-sectoral collaboration of COVID-19?""",government is considering changes to its policies to encourage the sharing of information by policy makers and public health officials so as to better inform public health policy The U government and research institutions in the U.S,,x, ,,,4,"BERT-Large, Uncased: 24-layer, 1024-hidden, 16-heads, 340M parameters + Cosine Similarity (Scikit-learn)"
Is there any evidence to suggest geographic based virus mutations of COVID-19?,"This is the first time we are aware of 5'UTR alterations in viruses from the two countries, as they were not previously sequenced This is the first time we are aware of 5'UTR alterations in viruses from the two countries, as they were not previously sequenced In each country, both the 5'UTR and the ORF3 gene had many polymorphic nucleotide positions, but the US and Canada had more significant genetic differences (Figure 6 )",x,,,,,5,BioBERT-Large v1.1 (+ PubMed 1M) - based on BERT-large-Cased (custom 30k vocabulary) + Cosine Similarity (Scikit-learn)
What has been published about information sharing and inter-sectoral,"The Observatory is an initiative of the European Commission and the International Development Research Center (IDRC) to accelerate joint international action to prevent and control emerging diseases The first meeting of the GHO was held in Marbella, Southern Spain, from which it was established in Geneva on June, for the sharing of data and expertise The first meeting of the GHO was held in Marbella, Southern Spain, from which it was established in Geneva on June, for the sharing of data and expertise",,,x,,,3,Universal Sentence Encoder Version 3 Large + Inner Product (numpy)
What do we know about COVID-19 risk factors?,"However, in most cases these studies provided no information on the specific conditions identified as risk factors for the increased risk of COVID-19 The data were used to identify risk factors for the increased risk among physicians who were physicians in the USA in 2015and in Canada in 2015 However, in most cases these studies provided no information on the specific conditions identified as risk factors for the increased risk of COVID-19",x,,,,,5,Universal Sentence Encoder Version 3 Large + Inner Product (numpy)
What has been published about medical care of COVID-19?,"Full article 8 (May ) Keywords: global health security, global health security, U health security Keyword search: What can the term global health security mean? Keyword search: What is the term global health security? Keyword search: What is the term global health security? Keywords: global health security, global health security, security, emergency, emergency response",,,,,x,1,Universal Sentence Encoder Version 3 Large + Inner Product (numpy)
Are there geographic variations in the mortality rate of COVID-19?,"This method works very well for large areas and has a large prediction sample, providing an estimate of a region's connectivity that can be exploited by public health The main coastal route and a land transport route both led to significant exchange of cases between the two cities This method works very well for large areas and has a large prediction sample, providing an estimate of a region's connectivity that can be exploited by public health",,,,x,,2,BioBERT-Large v1.1 (+ PubMed 1M) - based on BERT-large-Cased (custom 30k vocabulary) + Cosine Similarity (Scikit-learn)
Is there any evidence to suggest geographic based virus mutations of COVID-19?,"A: Most, if not all, the viral strains from the US and Canada contain many mutations within the region upstream of the 5' untranslated region (5'UTRs) of the virus genome ( Figure 5B), this includes three amino acids (V, E, I) substitutions at positions in the 5'UTR that are important in binding to the host cellular receptor, ACE A: Most, if not all, the viral strains from the US and Canada contain many mutations within the region upstream of the 5' untranslated region (5'UTRs) of the virus genome ( Figure 5B), this includes three amino acids (V, E, I) substitutions at positions in the 5'UTR that are important in binding to the host cellular receptor, ACE This is the first time we are aware of 5'UTR alterations in viruses from the two countries, as they were not previously sequenced",x,,,,,5,TfidfVectorizer (Scikit-learn) + Cosine Similarity (Scikit-learn)
Are there geographic variations in the rate of COVID-19 spread?,"In addition, this map was used to analyze the incidence of infected animal species and animal populations in China (Figure 3 ) The disease spread to some rural areas, such as Jiaozing, in August 2019, but most of the outbreaks were focused in urban areas where a large number of humans live densely In addition, this map was used to analyze the incidence of infected animal species and animal populations in China (Figure 3 )",,x,,,,4,BioBERT-Large v1.1 (+ PubMed 1M) - based on BERT-large-Cased (custom 30k vocabulary) + Cosine Similarity (Scikit-learn)
Are there geographic variations in the mortality rate of COVID-19?,"The mortality in COVID-19 is thought to be a result of global warming, with the population growing and the global travel increasing The mortality in COVID-19 is thought to be a result of global warming, with the population growing and the global travel increasing In this study, we assessed the impact of global climate change on the observed mortality from the respiratory disease COVID-19",,x,,,,4,"BERT-Large, Uncased: 24-layer, 1024-hidden, 16-heads, 340M parameters + Cosine Similarity (Scikit-learn)"
"What is known about transmission, incubation, and environmental stability of COVID-19?","How does its spread in the health care system affect treatment and prevention? Here I analyze the relationship between the diffusion and effect of transmission with different transmission routes, with the goal of identifying and characterizing risk conditions that may lead to the spread of and mortality among healthcare workers The relationship between risk conditions, including infection risk, transmission to other health workers, and patient-to-patient transmission has been analyzed in the context of patient flow, blood vessel walls, and the ED and in the context of the transmission mechanism and host factors The relationship between risk conditions, including infection risk, transmission to other health workers, and patient-to-patient transmission has been analyzed in the context of patient flow, blood vessel walls, and the ED and in the context of the transmission mechanism and host factors",x,,,,,5,TfidfVectorizer (Scikit-learn) + Cosine Similarity (Scikit-learn)
What do we know about diagnostics and surveillance of COVID-19?,"The US Centers for Disease Control and Prevention (CDC) has not declared a COVID-19 outbreak In this paper, we will give an overview of COVID-19 and highlight the strategies at the international, regional, and national levels The US Centers for Disease Control and Prevention (CDC) has not declared a COVID-19 outbreak",,,x,,,3,BioBERT-Large v1.1 (+ PubMed 1M) - based on BERT-large-Cased (custom 30k vocabulary) + Cosine Similarity (Scikit-learn)
What do we know about COVID-19 risk factors?,"The key question is what factors contribute to risk of COVID-19 in humans who do not have, or have not yet acquired some degree of precaution, and can be effectively targeted for prevention with current antiviral drugs The key question is what factors contribute to risk of COVID-19 in humans who do not have, or have not yet acquired some degree of precaution, and can be effectively targeted for prevention with current antiviral drugs When it comes to human risk of COVID-19, some animal species (e.g",x,,,,,5,"BERT-Large, Uncased: 24-layer, 1024-hidden, 16-heads, 340M parameters + Cosine Similarity (Scikit-learn)"
What has been published about medical care of COVID-19?,"We also briefly examine the relationship between the size of government expenditures of health care (and related services), and the risk of COVID-19 We present the results of studies that have assessed government and hospital information reporting for specific diseases, and also use some data from the World Health Organization to illustrate the range of reporting in this area We also briefly examine the relationship between the size of government expenditures of health care (and related services), and the risk of COVID-19",,x,,,,4,BioBERT-Large v1.1 (+ PubMed 1M) - based on BERT-large-Cased (custom 30k vocabulary) + Cosine Similarity (Scikit-learn)
What has been published about information sharing and inter-sectoral,"Common to inter-sectoral coordination are the procedures involved in sharing of information on the epidemic and in decision making on the response to the epidemic In February 2019, a series of publications on the issue were published ( Table 3) Common to inter-sectoral coordination are the procedures involved in sharing of information on the epidemic and in decision making on the response to the epidemic",x,,,,,5,TfidfVectorizer (Scikit-learn) + Cosine Similarity (Scikit-learn)
"What do we know about virus genetics, origin, and evolution of COVID-19?","In all the animal isolates and the entire virus genome, however, this put An additional putative 'core' gene from a second virus strain that is not covered in any of the viruses used is also identified elsewhere in the genome, and this is one of the major reasons that it is not possible to discern in human, animal and animal groups the exact location of this putative core gene location In all the animal isolates and the entire virus genome, however, this put",,x,,,,4,TfidfVectorizer (Scikit-learn) + Cosine Similarity (Scikit-learn)